locationID,fullAQSID,locationName,longitude,latitude,elevation,countryCode,stateCode,countyName,timezone,houseNumber,street,city,zip,AQSID,airnow_stationID,airnow_parameterName,airnow_monitorType,airnow_siteCode,airnow_status,airnow_agencyID,airnow_agencyName,airnow_EPARegion,airnow_GMTOffsetHours,airnow_CBSA_ID,airnow_CBSA_Name,airnow_stateAQSCode,airnow_countyAQSCode,airnow_MSAName,address
078f37046caa6f0b,840480371031,Texarkana New Boston,-94.075671,33.435489,91.48,US,TX,Bowie,America/Chicago,2631,New Boston Road,NA,75501,480371031,480371031,PM2.5,Permanent,1031,Active,TX1,Texas Commission on Environmental Quality,R6,-6,45500," Texarkana, TX-Texarkana, AR ",48,037,NA,"Burger King, 2631 New Boston Road, Texarkana, TX 75501, United States of America"
b3bb23043bf73a24,840480411086,Bryan Finfeather Road,-96.362842,30.627409,106.82,US,TX,Brazos,America/Chicago,NA,unnamed road,NA,77840,840480411086,840480411086,PM2.5,Permanent,1086,Active,TX1,Texas Commission on Environmental Quality,R6,-6,17780," College Station-Bryan, TX ",48,041,NA,"unnamed road, College Station, TX 77840, United States of America"
05b2762b8e177f68,840480430101,Big Bend  NP,-103.178101,29.3025,1052.3,US,TX,Brewster,America/Chicago,NA,Chihuahuan Desert Research Station Road,NA,79834,480430101,480430101,PM2.5,Permanent,0101,Active,NPS,National Park Service,USEPA,-6,NA,NA,48,043,NA,"Chihuahuan Desert Research Station Road, Brewster County, TX 79834, United States of America"
10c34f29096856e3,840480610006,Brownsville C80,-97.4936,25.8925,6.1,US,TX,Cameron,America/Chicago,343,Ringgold Road,NA,78520,480610006,480610006,PM2.5,Permanent,0006,Active,TX1,Texas Commission on Environmental Quality,R6,-6,15180," Brownsville-Harlingen, TX ",48,061,NA,"Brownsville Early College High School, 343 Ringgold Road, Brownsville, TX 78520, United States of America"
4de37636c63e50ad,840480612004,Isla Blanca C323/C667,-97.1667,26.0733,3.1,US,TX,Cameron,America/Chicago,NA,Coast Guard Access Road,NA,78597,480612004,480612004,PM2.5,Permanent,2004,Active,TX1,Texas Commission on Environmental Quality,R6,-6,NA,NA,48,061,NA,"CG Station Boathouse, Coast Guard Access Road, Cameron County, TX 78597, United States of America"
d8b8418c85dcd76a,840481130069,Dallas Hinton St. C401/C161 [E],-96.86,32.82,126.22,US,TX,Dallas,America/Chicago,1550,West Mockingbird Lane,NA,75235,481130069,481130069,PM2.5,Permanent,0069,Active,TX1,Texas Commission on Environmental Quality,R6,-6,19100," Dallas-Fort Worth-Arlington, TX ",48,113,NA,"1550 West Mockingbird Lane, Dallas, TX 75235, United States of America"
688cb0571eaed441,840481131096,NA,-96.75339,32.74504,125.47,US,TX,Dallas,America/Chicago,5798,Bexar Street,NA,75215,481131096,840481131096,PM2.5,Permanent,1096,Active,TX1,Texas Commission on Environmental Quality,R6,-6,NA,NA,48,113,NA,"5798 Bexar Street, Dallas, TX 75215, United States of America"
f13f567538f542ca,840481210034,Denton Airport South C56,-97.1933,33.1944,390.4,US,TX,Denton,America/Chicago,4618,Clear Start Street,NA,76207,481210034,481210034,PM2.5,Permanent,0034,Active,TX1,Texas Commission on Environmental Quality,R6,-6,19100," Dallas-Fort Worth-Arlington, TX ",48,121,NA,"4618 Clear Start Street, Denton, TX 76207, United States of America"
4b15d4128e80a35a,840481351014,Odessa Gonzales C1014,-102.334756,31.870253,884.5,US,TX,Ector,America/Chicago,NA,Inwood Drive,NA,79761,481351014,481351014,PM2.5,Permanent,1014,Active,TX1,Texas Commission on Environmental Quality,R6,-6,36220," Odessa, TX ",48,135,NA,"Gonzales Elementary School, Inwood Drive, Odessa, TX 79761, United States of America"
ecd817b0d5d78c95,840481390016,Midlothian OFW C52,-97.026922,32.482081,202.8,US,TX,Ellis,America/Chicago,2780,Old Fort Worth Road,Midlothian,76065,481390016,481390016,PM2.5,Permanent,0016,Active,TX1,Texas Commission on Environmental Quality,R6,-6,19100," Dallas-Fort Worth-Arlington, TX ",48,139,NA,"2780 Old Fort Worth Road, Midlothian, TX 76065, United States of America"
e8acbe9b92b449e0,840481391044,Italy C1044,-96.8711,32.1772,164.7,US,TX,Ellis,America/Chicago,NA,FM 667,NA,76651,481391044,481391044,PM2.5,Permanent,1044,Active,TX1,Texas Commission on Environmental Quality,R6,-6,19100," Dallas-Fort Worth-Arlington, TX ",48,139,NA,"FM 667, Italy, Ellis County, TX 76651, United States of America"
